"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","doJOZc","lcr4fd href","Cw1rxd 2","R8c4Qb 2","W4Efsd 7","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Cardinal+Pet+Clinic/data=!4m7!3m6!1s0x3397b13984159299:0x9d14bc0416e906ce!8m2!3d14.6956976!4d121.0317689!16s%2Fg%2F11fmmn3qgc!19sChIJmZIVhDmxlzMRzgbpFgS8FJ0?authuser=0&hl=en&rclk=1","Cardinal Pet Clinic","4.7","(33)","Veterinarian","·","625 Bagbag, 625 Quirino Hwy","Closed","· Opens 9 AM","·","(02) 8938 0369","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They took care of all my fur babies and I have a lot!!!""","","","","","","",""
"https://www.google.com/maps/place/Animed+Veterinary+Hospital/data=!4m7!3m6!1s0x3397b19a6ca013a3:0x95f247936696d661!8m2!3d14.7060758!4d121.0382107!16s%2Fg%2F11jx5xnz3g!19sChIJoxOgbJqxlzMRYdaWZpNH8pU?authuser=0&hl=en&rclk=1","Animed Veterinary Hospital","4.2","(90)","Veterinarian","·","·","753 Quirino Hwy","Open 24 hours","·","0965 469 7630","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They provide excellent customer service and top-notch quality care.""","","http://fb.me/animedvethospital/","","Directions","","",""
"https://www.google.com/maps/place/Pet+Vet+Animal+Health+Clinic/data=!4m7!3m6!1s0x3397b0df364996e9:0x3725b3af06dac2bb!8m2!3d14.7014908!4d121.035033!16s%2Fg%2F1pzv8twcc!19sChIJ6ZZJNt-wlzMRu8LaBq-zJTc?authuser=0&hl=en&rclk=1","Pet Vet Animal Health Clinic","3.7","(53)","Veterinary care","·","·","Closed","· Opens 9 AM","2nd Floor Nova Square Shopping Center, Quirino Highway, Pablo Dela Cruz Street, San Bartolome, Novaliches","0917 894 7956","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dr. Christian has diagnosed and treated Kaui really well.""","","","","","·","",""
"https://www.google.com/maps/place/Regalado+Veterinary+Medical+Center/data=!4m7!3m6!1s0x3397b0bd4e9e3e33:0x2225fd8065a9591c!8m2!3d14.7032457!4d121.0684344!16s%2Fg%2F11clyz2t8s!19sChIJMz6eTr2wlzMRHFmpZYD9JSI?authuser=0&hl=en&rclk=1","Regalado Veterinary Medical Center","4.0","(333)","Veterinarian","·","Regalado Ave","Open 24 hours","","·","0920 584 8794","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Clean, well ventilated, nice and accommodating","","","","","","vet","doctors."""
"https://www.google.com/maps/place/Vet+911+Animal+Clinic+-+Kingspoint/data=!4m7!3m6!1s0x3397b1cbf8710507:0xfee6aae13736beb4!8m2!3d14.6990889!4d121.0236851!16s%2Fg%2F11thp49zsc!19sChIJBwVx-MuxlzMRtL42N-Gq5v4?authuser=0&hl=en&rclk=1","Vet 911 Animal Clinic - Kingspoint","4.2","(13)","Veterinarian","·","23 King Ferdinand St","Closed","· Opens 9 AM","","","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Staff is very friendly and takes very good care of my furbaby.""","","","","","","",""
"https://www.google.com/maps/place/Serbisyo+Beterinaryo+Animal+Hospital+Quezon+City+24+Hrs+Pet+Emergency/data=!4m7!3m6!1s0x3397b16a4aefab31:0xbd595523d3e4dff1!8m2!3d14.7104177!4d121.0615318!16s%2Fg%2F11sw0bvbrb!19sChIJMavvSmqxlzMR8d_k0yNVWb0?authuser=0&hl=en&rclk=1","Serbisyo Beterinaryo Animal Hospital Quezon City 24 Hrs Pet Emergency","3.9","(279)","Veterinarian","·","·","Lot 24, Blk 9, Commonwealth Ave","Open 24 hours","·","0917 709 4124","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The","","https://www.facebook.com/sbahquezoncity","","Directions","","vet","explained everything clearly from the diagnosis to treatment plan."""
"https://www.google.com/maps/place/Holistic+Paws+Manila+Veterinary+Clinic+OPEN+24%2F7/data=!4m7!3m6!1s0x3397b76de8a5dc39:0x953ba173775e1f64!8m2!3d14.6732394!4d121.0569!16s%2Fg%2F11hdjdzxxr!19sChIJOdyl6G23lzMRZB9ed3OhO5U?authuser=0&hl=en&rclk=1","Holistic Paws Manila Veterinary Clinic OPEN 24/7","4.1","(71)","Veterinarian","·","9 Congressional Ave Ext","Open 24 hours","","·","0917 100 5395","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They did boas emergency surgery on my french bulldog and it was successful.""","","","","","","",""
"https://www.google.com/maps/place/MedPaws+Veterinary+Clinic+and+Grooming+Services+-+Project+8/data=!4m7!3m6!1s0x2697a098ac96e733:0xa3e4b82b4d6924e8!8m2!3d14.6784541!4d121.0176867!16s%2Fg%2F11kjj6mv06!19sChIJM-eWrJiglyYR6CRpTSu45KM?authuser=0&hl=en&rclk=1","MedPaws Veterinary Clinic and Grooming Services - Project 8","2.6","(15)","Veterinarian","·","346 Quirino Hwy","Closed","· Opens 9 AM","·","0942 388 0260","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good and friendly","","","","","","vet",", they answer every question we have even through text."""
"https://www.google.com/maps/place/UP+Veterinary+Teaching+Hospital,+Diliman+Station/data=!4m7!3m6!1s0x3397b76debabf957:0x8221199ec0f85261!8m2!3d14.651898!4d121.0608949!16s%2Fg%2F1tmxnk1r!19sChIJV_mr6223lzMRYVL4wJ4ZIYI?authuser=0&hl=en&rclk=1","UP Veterinary Teaching Hospital, Diliman Station","4.5","(254)","Veterinarian","·","·","Closed","· Opens 7 AM","101 E. Jacinto Street","(02) 8928 5436","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""most reasonably priced consultation fees, Lab tests, xrays, and meds too !!""","","","","","·","",""
"https://www.google.com/maps/place/Bido+Veterinary+Clinic+-+Congressional+Avenue+Extension/data=!4m7!3m6!1s0x3397b78bc61d1b57:0xca86719f26ff2774!8m2!3d14.6736724!4d121.0521239!16s%2Fg%2F11ssfb0xqq!19sChIJVxsdxou3lzMRdCf_Jp9xhso?authuser=0&hl=en&rclk=1","Bido Veterinary Clinic - Congressional Avenue Extension","4.2","(29)","Emergency veterinarian service","·","Congressional Ave Ext","·","Open 24 hours","","0918 234 5668","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very reliable and very reasonable price ❤️""","","https://www.facebook.com/BidoVeterinaryClinic","","Directions","","",""
"https://www.google.com/maps/place/Pendragon+Veterinary+Clinic+24%2F7+Emergency+ON+CALL/data=!4m7!3m6!1s0x3397b70af0e37f0b:0xe11449878783271!8m2!3d14.643609!4d121.053859!16s%2Fg%2F1vrq7523!19sChIJC3_j8Aq3lzMRcTJ4eJhEEQ4?authuser=0&hl=en&rclk=1","Pendragon Veterinary Clinic 24/7 Emergency ON CALL","4.3","(249)","Veterinarian","·","·","Ground Floor Amaremca Bldg. 107A Kalayaan avenue, Diliman","Open 24 hours","·","(02) 8812 0957","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Brought my two cats here and there doctors are well educated and friendly!!""","","http://www.pendragonvet.com/","","Directions","","",""
"https://www.google.com/maps/place/Congressional+Animal+Clinic/data=!4m7!3m6!1s0x3397b6ef37511ba7:0x4db428b5ae954329!8m2!3d14.6613085!4d121.0202615!16s%2Fg%2F11bw1xjjgp!19sChIJpxtRN--2lzMRKUOVrrUotE0?authuser=0&hl=en&rclk=1","Congressional Animal Clinic","4.3","(453)","Animal hospital","·","Ramon Magsaysay, 28 Congressional Ave","Closed","· Opens 9 AM","·","0977 761 0343","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good doctors and affordable rates and","","","","","","medicines","for pets."""
"https://www.google.com/maps/place/Vet+911+Animal+Clinic/data=!4m7!3m6!1s0x3397b72952ed501b:0xc5aaa17765e61d32!8m2!3d14.6677102!4d121.0204827!16s%2Fg%2F11j7brnsd0!19sChIJG1DtUim3lzMRMh3mZXehqsU?authuser=0&hl=en&rclk=1","Vet 911 Animal Clinic","4.3","(109)","Veterinarian","·","·","Closed","· Opens 9 AM","51 Shorthorn St","0932 618 4116","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Quality","","","","","·","services","but a little pricey."""
"https://www.google.com/maps/place/Philippine+College+of+Veterinary+Public+Health/data=!4m7!3m6!1s0x3397b719d661cbdb:0x95c133c07442571!8m2!3d14.6604357!4d121.0448364!16s%2Fg%2F11bzvy_d_0!19sChIJ28th1hm3lzMRcSVEBzwTXAk?authuser=0&hl=en&rclk=1","Philippine College of Veterinary Public Health","","","High school","·","M26V+5WG, Visayas Ave","","","","(02) 8924 3119","","Directions","","","","","","","","",""
"https://www.google.com/maps/place/Blessed+Veterinary+Clinic/data=!4m7!3m6!1s0x3397b71a87dbdca7:0x7569db8da5a89a12!8m2!3d14.6510113!4d121.0179032!16s%2Fg%2F1q6j20xyc!19sChIJp9zbhxq3lzMREpqopY3baXU?authuser=0&hl=en&rclk=1","Blessed Veterinary Clinic","4.2","(674)","Animal hospital","·","·","281-C Fernando Poe Jr. Ave","Open 24 hours","·","(02) 8921 9634","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They performed enema on my dog and found another underlying problem.""","","https://blessedvets.com/","","Directions","","",""
"https://www.google.com/maps/place/College+Of+Veterinary+Medicine+-+De+La+Salle+Araneta+University/data=!4m7!3m6!1s0x3397b7b95abbfa5f:0xc48f47912475ef3e!8m2!3d14.6705425!4d120.9981173!16s%2Fg%2F11g0s51y8t!19sChIJX_q7Wrm3lzMRPu91JJFHj8Q?authuser=0&hl=en&rclk=1","College Of Veterinary Medicine - De La Salle Araneta University","3.7","(15)","Educational institution","·","·","Park, 80 Victoneta Ave","","","3309128","","Website","","","","http://dlsau.edu.ph/","","Directions","","",""
"https://www.google.com/maps/place/Bretton+Woods+Veterinary+Clinic+%26+Distemper+Recovery+Center/data=!4m7!3m6!1s0x3397b7a9eb9b1b4b:0xa7854399df3ff403!8m2!3d14.6245171!4d121.0414705!16s%2Fg%2F11h3b2h0z1!19sChIJSxub66m3lzMRA_Q_35lDhac?authuser=0&hl=en&rclk=1","Bretton Woods Veterinary Clinic & Distemper Recovery Center","4.0","(480)","Emergency veterinarian service","·","·","Open 24 hours","","Hillcrest Condominium, E Rodriguez Sr. Ave","0968 273 7441","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Clean clinic and affordable rates.""","","","","","·","",""
"https://www.google.com/maps/place/Vetlink+Veterinary+Services+-+A+Community+Vet+Clinic/data=!4m7!3m6!1s0x3397b7a71d1adfc5:0x1e8b41b7e5ef7004!8m2!3d14.6472082!4d121.0267235!16s%2Fg%2F11klvrkkf2!19sChIJxd8aHae3lzMRBHDv5bdBix4?authuser=0&hl=en&rclk=1","Vetlink Veterinary Services - A Community Vet Clinic","4.8","(150)","Veterinarian","·","·","47 Ilagan","Closed","·","0945 352 7727","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very kind doctors and affordable","","http://www.vetlinkveterinaryservices.com/","","Directions","· Opens 9 AM","medical services","."""
"https://www.google.com/maps/place/Doc+Ferds+Animal+Wellness+Center/data=!4m7!3m6!1s0x3397b65223104983:0xbccf27f76281f27c!8m2!3d14.636636!4d121.025977!16s%2Fg%2F11crzwwtmy!19sChIJg0kQI1K2lzMRfPKBYvcnz7w?authuser=0&hl=en&rclk=1","Doc Ferds Animal Wellness Center","4.2","(148)","Animal hospital","·","109 GF, Jiao Building, 2 Timog Ave","·","Open 24 hours","","(02) 7753 1341","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""It's actually cheaper than other","","https://docferdsanimalwellness.com/","","Directions","","vet","clinics in the area."""
"https://www.google.com/maps/place/QUEZON+CITY+VETERINARY+DEPARTMENT/data=!4m7!3m6!1s0x3397b7d393eec891:0xf827f9e630d7a0df!8m2!3d14.6458007!4d121.0517906!16s%2Fg%2F11h0pry1ty!19sChIJkcjuk9O3lzMR36DXMOb5J_g?authuser=0&hl=en&rclk=1","QUEZON CITY VETERINARY DEPARTMENT","4.2","(5)","Government office","·","4th Floor City Health Building Makatarungan street, cor Kalayaan Ave","Closed","· Opens 8 AM","·","(02) 8988 4242","","Directions","","","","","","","","",""
"https://www.google.com/maps/place/Dela+Salle+Araneta+University+Veterinary+Teaching+Hospital/data=!4m7!3m6!1s0x3397b69edf8f09c1:0xc2f27a60d01d5084!8m2!3d14.6705029!4d120.99848!16s%2Fg%2F1hc2503xg!19sChIJwQmP3562lzMRhFAd0GB68sI?authuser=0&hl=en&rclk=1","Dela Salle Araneta University Veterinary Teaching Hospital","4.5","(49)","Veterinarian","·","·","MXCX+695, Victoneta Ave","Closed","·","(02) 8330 9128","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They have good doctors here.""","","http://www.dlsau.edu.ph/","","Directions","· Opens 8 AM","",""
"https://www.google.com/maps/place/Philippine+Animal+Medical+Center/data=!4m7!3m6!1s0x3397b7a794a36045:0x7405dbb5b49baa9!8m2!3d14.6112198!4d121.0754869!16s%2Fg%2F11f8jydn6p!19sChIJRWCjlKe3lzMRqbpJW7tdQAc?authuser=0&hl=en&rclk=1","Philippine Animal Medical Center","4.2","(170)","Animal hospital","·","RV Mansion, 168 Bldg Eulogio Rodriguez Jr. Ave","·","Closed","","(02) 8351 4914","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The doctors and staff are very friendly and professional.""","","http://www.facebook.com/PhilAMedC","","Directions","· Opens 9 AM","",""
"https://www.google.com/maps/place/Vis+Medicatrix+Naturae+Veterinary+Clinic/data=!4m7!3m6!1s0x3397b737ab09ee69:0xc1816a2e0b9021d2!8m2!3d14.6637153!4d121.021749!16s%2Fg%2F11frtg9v0l!19sChIJae4Jqze3lzMR0iGQCy5qgcE?authuser=0&hl=en&rclk=1","Vis Medicatrix Naturae Veterinary Clinic","5.0","(36)","Veterinarian","·","69 Congressional Ave","","Closed","","","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very accommodating & reasonably priced for their","","http://fb.me/VMNCLINIC","","Directions","· Opens 9:30 AM","services","."""
"https://www.google.com/maps/place/Dr.+Love+PET+Clinic/data=!4m7!3m6!1s0x3397b7d81c6b7361:0xf7f74388a70a4c91!8m2!3d14.664766!4d121.039666!16s%2Fg%2F11j4r_3jxg!19sChIJYXNrHNi3lzMRkUwKp4hD9_c?authuser=0&hl=en&rclk=1","Dr. Love PET Clinic","4.3","(31)","Veterinarian","·","Unit A and Unit C, 112 Rd 3","Closed","· Opens 10 AM","·","0961 361 6681","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""And the","","","","","","vet",", Dr. Jade is very patient, explaining everyrhing."""
"https://www.google.com/maps/place/Pets+Perfect+Animal+Clinic/data=!4m7!3m6!1s0x3397b1e4fe4b28c9:0x7b590cfd0dc2aa49!8m2!3d14.7126729!4d121.0401543!16s%2Fg%2F11h5nmwt52!19sChIJyShL_uSxlzMRSarCDf0MWXs?authuser=0&hl=en&rclk=1","Pets Perfect Animal Clinic","4.8","(18)","Medical clinic","·","Unit 4, EPS Building Arcade, 848 Quirino Hwy","Closed","· Opens 9 AM","·","(02) 7617 8342","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mura pa and at the same time effective prescription!""","","","","","","",""
"https://www.google.com/maps/place/Pawprint+Veterinary+Clinic+l+Quezon+City/data=!4m7!3m6!1s0x3397b7cd9954255f:0xb46f29a829fafa14!8m2!3d14.6611912!4d121.0354508!16s%2Fg%2F11vrcz3xzz!19sChIJXyVUmc23lzMRFPr6Kagpb7Q?authuser=0&hl=en&rclk=1","Pawprint Veterinary Clinic l Quezon City","1.8","(16)","Veterinarian","·","107 H Road 8, cor Rd 13","·","Open 24 hours","","0917 794 0723","","Website","","","","https://www.facebook.com/61555220092160/professional_dashboard/insights/?ref=comet_direct_url_navigation","","Directions","","",""
"https://www.google.com/maps/place/Holy+Spirit+Animal+Clinic/data=!4m7!3m6!1s0x3397ba0082ecff95:0xf7aaed740d845e3c!8m2!3d14.6827749!4d121.0792932!16s%2Fg%2F11bc7rx5zw!19sChIJlf_sggC6lzMRPF6EDXTtqvc?authuser=0&hl=en&rclk=1","Holy Spirit Animal Clinic","4.2","(226)","Veterinarian","·","62 Holy Spirit Dr","Closed","· Opens 9 AM","·","(02) 8994 1058","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Love the people and the care they provide for my cats.""","","","","","","",""
"https://www.google.com/maps/place/DMV+Pagamutang+Panghayop+Veterinary+Clinic/data=!4m7!3m6!1s0x3397b149f6292495:0x122b2ca0ac486a77!8m2!3d14.6952254!4d121.0099526!16s%2Fg%2F11ckvl1wd8!19sChIJlSQp9kmxlzMRd2pIrKAsKxI?authuser=0&hl=en&rclk=1","DMV Pagamutang Panghayop Veterinary Clinic","4.4","(61)","Veterinarian","·","3147 F. Bautista","·","Closed","","0906 025 4055","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They are very accommodating and they know what to do with your pets.""","","http://facebook.com/pagamutangpanghayop","","Directions","· Opens 10 AM","",""
"https://www.google.com/maps/place/Vetropolitan+Animal+Clinic/data=!4m7!3m6!1s0xa83daf15ada3dd07:0x1a0febce882a44b4!8m2!3d14.6384572!4d121.0375018!16s%2Fg%2F11x991kq4g!19sChIJB92jrRWvPagRtEQqiM7rDxo?authuser=0&hl=en&rclk=1","Vetropolitan Animal Clinic","5.0","(29)","Veterinarian","·","Wil Tower, Scout Albano Ave","·","Closed","","0995 331 3393","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Friendly and caring staff, knowledgeable","","https://www.facebook.com/profile.php?id=61577166290440","","Directions","· Opens 10 AM Wed","vet",", and a clean, welcoming clinic."""
"https://www.google.com/maps/place/Mount+Sinai+Veterinary+Practice+QC/data=!4m7!3m6!1s0x3397b7965151c203:0x41e8ae1a5099c672!8m2!3d14.6409698!4d121.0408397!16s%2Fg%2F11f9zj01v_!19sChIJA8JRUZa3lzMRcsaZUBqu6EE?authuser=0&hl=en&rclk=1","Mount Sinai Veterinary Practice QC","4.4","(40)","Animal hospital","·","·","Closed","· Opens 9 AM","C3-Retail 21 Eton Centris EDSA corner Quezon Avenue Barangay","(02) 7500 8990","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The vets are experts in their field and have a wealth of experience.""","","","","","·","",""
"https://www.google.com/maps/place/Doc+Ferds+Animal+Wellness+Center+North+Edsa/data=!4m7!3m6!1s0x3397b7a3b2f6bcbf:0xb6473868d10bbc16!8m2!3d14.6579346!4d121.0191224!16s%2Fg%2F11mjv9rl7_!19sChIJv7z2sqO3lzMRFrwL0Wg4R7Y?authuser=0&hl=en&rclk=1","Doc Ferds Animal Wellness Center North Edsa","4.4","(58)","Veterinarian","·","#3 T&K Building, Congressional Avenue Corner EDSA, Baranggay","Closed","· Opens 9 AM","·","0917 159 2021","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They have complete","","","","","","medical","assessment tools and equipment."""
"https://www.google.com/maps/place/CONSULT+A+VET-+Tandang+Sora+Branch/data=!4m7!3m6!1s0x3397b762397c938f:0x38888ccd2cb3dc5d!8m2!3d14.6690236!4d121.0544592!16s%2Fg%2F11mtdg_w_s!19sChIJj5N8OWK3lzMRXdyzLM2MiDg?authuser=0&hl=en&rclk=1","CONSULT A VET- Tandang Sora Branch","3.4","(37)","Veterinarian","·","·","besides BDO, Royal Midway Plaza Building, Tandang Sora Ave","Closed","·","0945 574 5974","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They have high technology to accommodate pet’s need.""","","https://www.facebook.com/ConsultAVetAnimalHospital/","","Directions","· Opens 7 AM","",""
"https://www.google.com/maps/place/Manila+East+Veterinary+Care+%28MEVC%29/data=!4m7!3m6!1s0x3397b617c6d23011:0x7b47e5f3231861a4!8m2!3d14.6227228!4d121.0277224!16s%2Fg%2F11f092dfgc!19sChIJETDSxhe2lzMRpGEYI_PlR3s?authuser=0&hl=en&rclk=1","Manila East Veterinary Care (MEVC)","4.8","(62)","Veterinarian","·","In between Metro Supermarket and Fresenius Kidney Care Dialysis Center, 1052 E Rodriguez Sr. Ave","Closed","· Opens 8 AM","·","0961 118 2230","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They took care of my cat very well during her ckd journey.""","","","","","","",""
"https://www.google.com/maps/place/The+Veterinary+Hub+Pte+Corp+Morato/data=!4m7!3m6!1s0x3397b7adc5a1731b:0xf809707f8127e209!8m2!3d14.62576!4d121.033758!16s%2Fg%2F11jgdcg6_3!19sChIJG3Ohxa23lzMRCeIngX9wCfg?authuser=0&hl=en&rclk=1","The Veterinary Hub Pte Corp Morato","4.7","(10)","Animal hospital","·","unit 8 gf 74 tomas morato CREEKSIDE SQUARE BLDG, 74 Tomas Morato Ave","Open 24 hours","","·","0917 859 3838","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""We highly recommend this clinic and their emergency response team.""","","","","","","",""
"https://www.google.com/maps/place/Nhet%27s+Animal+Shoppe+%26+Veterinary+Supply/data=!4m7!3m6!1s0x3397b15ecbef93bb:0xc9168f92856e5da2!8m2!3d14.707282!4d120.9918441!16s%2Fg%2F1pztc48j8!19sChIJu5Pvy16xlzMRol1uhZKPFsk?authuser=0&hl=en&rclk=1","Nhet's Animal Shoppe & Veterinary Supply","4.2","(60)","Pet supply store","·","CVC, Paso de Blas Rd","Closed","· Opens 8 AM","·","(02) 3440 2366","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They take care of your fur baby well""","","","","","","",""
"https://www.google.com/maps/place/Gusi+Animal+Clinic/data=!4m7!3m6!1s0x3397b09de341fda7:0x22a1b4fa3f440186!8m2!3d14.7053196!4d121.0785516!16s%2Fg%2F11bw1yxc54!19sChIJp_1B452wlzMRhgFEP_q0oSI?authuser=0&hl=en&rclk=1","Gusi Animal Clinic","4.5","(176)","Animal hospital","·","89 Commonwealth Ave","Closed","· Opens 8:30 AM","·","(02) 7728 2313","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They were very quick to assist us and give our dog","","","","","","medications","she needed."""
"https://www.google.com/maps/place/Vets+In+Practice+Quezon+City+Inc./data=!4m7!3m6!1s0x3397b7f106fab27b:0x35ac9a3215988f8d!8m2!3d14.6201074!4d121.0729159!16s%2Fg%2F11ckqrbqtl!19sChIJe7L6BvG3lzMRjY-YFTKarDU?authuser=0&hl=en&rclk=1","Vets In Practice Quezon City Inc.","3.9","(358)","Veterinarian","·","·","Blue Ridge, 220 C5 Katipunan Ave","Closed","·","(02) 8962 1551","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Their doctors and","","http://www.vetsinpractice.ph/","","Directions","· Opens 9 AM","vet","assistants are competent and knowledgeable."""
